š;X;X
škrpica;-e;ž
škrt;-a;m
škrt;-a -o;prid.
škrt;;medm.
škrta;-e;ž
škrtanje;-a;s
škrtariti;-im;nedov.
škrtati;-am;nedov.
škrtec;-tca;m
škrtež;-a;m
škrtljaj;-a;m
škrtljati;-am;nedov.
škrtljav;-ava -o;prid.
škrtniti;-em;dov.
škrtost;-i;ž
škrupelj;-na;in
škržat;-a;m
škržatji;-a -e;prid.
škržek;-žka;m
škržen;-žna -o;prid.
škržolica;-e;ž
škuna;-e;ž
škuner;-ja;m
škura;-e;ž
škurh;-a;m
škver;-a;m
šlabeder;;in
šlabedrati;-am;nedov.
šlager;-ja;m
šlagerski;-a -o;prid.
šlahèiè;-a;m
šlahta;-e;ž
šlamastika;-e;ž
šlamparija;-e;ž
šlampast;-a -o;prid.
šlapa;-e;ž
šlapati;-am;nedov.
šlapica;-e;ž
šlar;-a;m
šlarafija;-e;ž
šlarast;-a -o;prid.
šlatati;-am;nedov.
šlek;;medm.
šlem;;tudi
šlep;;in
šleva;-e;ž
šlevast;-a -o;prid.
šleviti;-im;nedov.
šlibar;-ja;m
šlic;-a;m
šligati;-am;nedov.
šlik;;medm.
šlikniti;-em;dov.
šlogati;-am;tudi
šluk;-a;m
šlupka;-e;ž
šmajser;-ja;m
šmaren;-rna;m
šmaren;-rna -o;prid.
šmarnica;-e;ž
šmarnièen;-èna -o;prid.
šmarno;-ega;s
šmarno;;prisl.
šment;šmenta;in
šmentaj;-te;medm.
šmentan;-a -o;prid.
šmickati;-am;nedov.
šminka;-e;ž
šminkanje;-a;s
šminkar;-ja;m
šminkarski;-a -o;prid.
šminkati;-am;nedov.
šminker;-ja;m
šmir;-a;m
šmira;-e;ž
šmirant;-a;m
šmirantstvo;-a;s
šmirati;-am;nedov.
šmirgel;-gla;m
šmis;-a;m
šmohorka;;tudi
šmoren;-rna;m
šmuglati;-am;nedov.
šnavcer;-ja;m
šnita;-e;ž
šnjur;-a;m
šnofati;-am;nedov.
šnopec;-pca;m
šnops;;in
šnopsar;-ja;m
šnorkel;-kla;m
šoba;-e;ž
šobast;-a -o;prid.
šobèek;-èka;m
šoben;-bna -o;prid.
šobica;-e;ž
šobiti;-im;nedov.
šobljenje;-a;s
šoder;-dra;m
šodi;;in
šodo;-ja;m
šodrast;-a -o;prid.
šodrovec;-vca;m
šofer;-ja;m
šoferka;-e;ž
šoferski;-a -o;prid.
šofiranje;-a;s
šofirati;-am;nedov.
šoga;-e;ž
šoja;-e;ž
šok;-a;in
šok;-a;in
šokanten;-tna -o;prid.
šokantnost;-i;ž
šokec;-kca;m
šokiranje;-a;s
šokirati;-am;dov. in nedov.
šokoven;-vna -o;prid.
šolanec;-nca;m
šolanje;-a;s
šolanost;-i;ž
šolar;-ja;m
šolarèek;-èka;m
šolarica;-e;ž
šolarka;-e;ž
šolarski;-a -o;prid.
šolati;-am;nedov.
šolen;-lna;m
šolenc;-a;m
šolenèek;-èka;m
šolmošter;-tra;m
šolmoštrski;-a -o;prid.
šolnik;-a;m
šolnina;-e;ž
šolnik;-a;m
šolnina;-e;ž
šolniški;-a -o;prid.
šoloobvezen;-zna -o;prid.
šoloobveznik;-a;m
šolski;-a -o;prid.
šolskoreformen;-mna -o;prid.
šolstvo;-a;s
šomošter;-tra;m
šomoštrija;-e;ž
šomoštrovati;-ujem;nedov.
šomoštrski;-a -o;prid.
šomoštrstvo;-a;s
šop;šopa;m
šopa;-e;ž
šopast;-a -o;prid.
šopati;-am;nedov.
šopiren;-rna -o;prid.
šopiriti;-im;nedov.
šopirjenje;-a;s
šopirnost;-i;ž
šopoma;;prisl.
šopulja;-e;ž
šopoma;;prisl.
šopulja;-e;ž
šoštar;-ja;m
šota;-e;ž
šotar;-ja;m
šotast;-a -o;prid.
šoten;-tna -o;prid.
šotiš;-a;m
šotišèe;-a;s
šotnat;-a -o;prid.
šotnica;-e;ž
šotor;-ora;in
šotorast;;in
šotorèek;;tudi
šotoren;-rna -o;prid.
šotorišèe;-a;s
šotoriti;-im;tudi
šotorjenje;;tudi
šotorka;-e;ž
šotornica;-e;ž
šotornina;-e;ž
šotorovina;-e;ž
šotorski;;tudi
šotovina;-e;ž
šotovka;-e;ž
šov;;gl.
šovinist;-a;m
šovinistièen;-èna -o;prid.
šovinizem;-zma;m
špaga;-e;ž
špagarica;-e;ž
špaget;-a;m
špagica;-e;ž
špahtel;-tla;m
špajk;-a;m
špajka;-e;ž
špajkov;-a -o;prid.
špaleta;-e;ž
špalir;-ja;m
špaliren;-rna -o;prid.
špalirka;-e;ž
